run_category,start_date_converted,start_date_month,year,month,distance_km,name,run_moving_time,run_elapsed_time,total_elevation_gain,achievement_count,kudos_count,comment_count,average_cadence,pr_count,average_heartrate,max_heartrate
Regular,2022-11-05,2022-11-30,2022,11,12.12,BHAT - BTR group run,1:17:34,1:19:14,425.0,2,74,3,79.6,0,148.9,175.0
Regular,2022-11-04,2022-11-30,2022,11,8.13,Lunch Loop,0:44:05,0:44:11,26.0,0,43,0,85.9,0,140.1,155.0
Regular,2022-11-01,2022-11-30,2022,11,9.09,River run,0:48:47,0:49:21,81.0,0,50,0,86.8,0,151.2,171.0
Regular,2022-10-31,2022-10-31,2022,10,13.43,Wet river loop ,1:10:04,1:10:43,77.0,12,45,0,87.0,0,154.8,179.0
Regular,2022-10-30,2022-10-31,2022,10,12.01,First one of these in a while,1:00:50,1:01:12,79.0,10,52,3,87.4,0,154.9,173.0
Regular,2022-10-28,2022-10-31,2022,10,10.02,Lunch Out and back,0:51:43,0:52:31,40.0,0,48,0,86.5,0,152.0,177.0
Regular,2022-10-26,2022-10-31,2022,10,12.28,Muggy 😰,1:07:58,1:08:08,121.0,1,45,0,85.2,0,143.7,166.0
Regular,2022-10-25,2022-10-31,2022,10,7.02,Low and slow,0:40:50,0:40:50,30.0,0,40,0,84.3,0,133.6,145.0
Regular,2022-10-24,2022-10-31,2022,10,10.21,PM Loop,0:57:16,0:57:20,77.0,0,51,0,84.6,0,137.6,158.0
Regular,2022-10-23,2022-10-31,2022,10,11.77,Trail goodness ,1:12:28,1:14:22,206.0,0,71,1,83.6,0,150.0,172.0
Regular,2022-10-21,2022-10-31,2022,10,10.02,Same same ,0:55:09,0:55:14,65.0,0,49,0,86.1,0,141.6,164.0
Regular,2022-10-20,2022-10-31,2022,10,6.01,Easy double,0:34:55,0:34:55,24.0,0,34,0,84.2,0,140.3,161.0
Regular,2022-10-20,2022-10-31,2022,10,8.51,Lunch Loop,0:43:08,0:43:08,26.0,0,35,0,87.7,0,153.6,171.0
Regular,2022-10-18,2022-10-31,2022,10,10.09,PM Loop,0:55:20,0:55:35,66.0,0,44,0,85.7,0,141.5,167.0
Regular,2022-10-17,2022-10-31,2022,10,8.46,Lunch Loop,0:44:26,0:44:26,18.0,0,41,0,87.1,0,145.8,165.0
Regular,2022-10-16,2022-10-31,2022,10,8.33,Testing the new headlamp ,0:39:58,0:40:02,21.0,0,52,2,87.7,0,155.7,174.0
Regular,2022-10-14,2022-10-31,2022,10,6.19,Friday night lights,0:33:01,0:33:01,57.0,0,40,0,85.9,0,146.2,167.0
